"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHOKLEY","EQ","01-Dec-2017","        117.85","        119.20","        123.20","        119.20","        120.15","        120.05","        121.51","   21469285","          2608759911.95","      63889","    5172137","         24.09"
"ASHOKLEY","EQ","04-Dec-2017","        120.05","        122.45","        122.45","        115.40","        116.65","        116.35","        118.60","   14612462","          1732966419.15","      52163","    3747315","         25.64"
"ASHOKLEY","EQ","05-Dec-2017","        116.35","        116.35","        116.35","        112.55","        114.05","        114.05","        113.91","   15039479","          1713200673.85","      60156","    5034036","         33.47"
"ASHOKLEY","EQ","06-Dec-2017","        114.05","        114.00","        115.95","        112.50","        114.40","        114.45","        114.68","    9390524","          1076877206.55","      47053","    2587945","         27.56"
"ASHOKLEY","EQ","07-Dec-2017","        114.45","        114.85","        117.35","        114.60","        117.35","        116.90","        116.32","    8391644","           976132648.10","      37832","    2392374","         28.51"
"ASHOKLEY","EQ","08-Dec-2017","        116.90","        117.50","        119.35","        117.10","        118.75","        118.55","        118.73","   10420608","          1237192656.30","      37837","    3922054","         37.64"
"ASHOKLEY","EQ","11-Dec-2017","        118.55","        120.35","        120.40","        117.40","        117.80","        117.90","        118.54","    7720936","           915245809.85","      34496","    2339370","         30.30"
"ASHOKLEY","EQ","12-Dec-2017","        117.90","        117.45","        117.70","        113.20","        113.80","        113.80","        115.09","   12071975","          1389363479.10","      52209","    3722797","         30.84"
"ASHOKLEY","EQ","13-Dec-2017","        113.80","        113.90","        115.00","        112.60","        114.50","        114.05","        114.01","   10933962","          1246633230.75","      36716","    3965856","         36.27"
"ASHOKLEY","EQ","14-Dec-2017","        114.05","        114.50","        114.80","        111.10","        112.05","        112.05","        112.31","   11950647","          1342201270.85","      54334","    4611496","         38.59"
"ASHOKLEY","EQ","15-Dec-2017","        112.05","        114.00","        114.40","        112.30","        112.90","        112.75","        112.98","    9188447","          1038151730.05","      47945","    3145149","         34.23"
"ASHOKLEY","EQ","18-Dec-2017","        112.75","        112.00","        115.95","        105.95","        114.50","        114.30","        113.63","   16437780","          1867777268.15","      62907","    4852016","         29.52"
"ASHOKLEY","EQ","19-Dec-2017","        114.30","        115.25","        118.55","        114.50","        118.20","        118.15","        116.57","   12707741","          1481304810.80","      53767","    4719366","         37.14"
"ASHOKLEY","EQ","20-Dec-2017","        118.15","        118.10","        119.50","        117.20","        117.45","        117.80","        118.42","    8412028","           996186934.70","      40704","    1815708","         21.58"
"ASHOKLEY","EQ","21-Dec-2017","        117.80","        117.95","        119.05","        116.70","        117.40","        117.55","        117.83","    9259990","          1091065430.35","      28738","    2675847","         28.90"
"ASHOKLEY","EQ","22-Dec-2017","        117.55","        118.40","        118.85","        116.40","        117.90","        117.60","        117.65","    6908953","           812852290.10","      23909","    1581390","         22.89"
"ASHOKLEY","EQ","26-Dec-2017","        117.60","        118.60","        120.35","        118.00","        119.10","        119.15","        119.20","    8415655","          1003169657.50","      31007","    2130921","         25.32"
"ASHOKLEY","EQ","27-Dec-2017","        119.15","        119.25","        120.20","        117.50","        118.20","        118.60","        118.95","    8897773","          1058373472.45","      39797","    2617599","         29.42"
"ASHOKLEY","EQ","28-Dec-2017","        118.60","        118.65","        118.80","        117.20","        117.60","        117.70","        118.08","    5166001","           610010793.50","      17527","    1492567","         28.89"
"ASHOKLEY","EQ","29-Dec-2017","        117.70","        118.00","        120.00","        117.20","        119.70","        119.10","        118.44","    7755733","           918618440.50","      27504","    2979213","         38.41"
"ASHOKLEY","EQ","01-Jan-2018","        119.10","        119.65","        122.50","        118.05","        118.65","        118.65","        120.57","   10218058","          1231994969.30","      43098","    2089194","         20.45"
"ASHOKLEY","EQ","02-Jan-2018","        118.65","        119.25","        123.85","        117.00","        123.50","        123.35","        121.59","   27656711","          3362836711.45","      91859","    5340367","         19.31"
"ASHOKLEY","EQ","03-Jan-2018","        123.35","        124.75","        125.80","        123.75","        124.60","        124.50","        124.78","   22686568","          2830878816.20","      68757","    7976993","         35.16"
"ASHOKLEY","EQ","04-Jan-2018","        124.50","        125.25","        127.35","        123.80","        126.90","        126.95","        125.82","   17032019","          2142968877.55","      50307","    8142502","         47.81"
"ASHOKLEY","EQ","05-Jan-2018","        126.95","        127.00","        128.20","        126.00","        127.25","        127.45","        127.08","    8969607","          1139880134.05","      38238","    3203125","         35.71"
"ASHOKLEY","EQ","08-Jan-2018","        127.45","        127.90","        129.00","        126.90","        128.50","        128.45","        128.02","    8807108","          1127524046.25","      62497","    4275013","         48.54"
"ASHOKLEY","EQ","09-Jan-2018","        128.45","        130.20","        132.60","        129.50","        130.25","        130.50","        131.00","   20917588","          2740289098.85","      74428","    6256054","         29.91"
"ASHOKLEY","EQ","10-Jan-2018","        130.50","        130.30","        130.50","        126.70","        127.80","        127.95","        128.06","    8194879","          1049421407.10","      37564","    2079781","         25.38"
"ASHOKLEY","EQ","11-Jan-2018","        127.95","        127.00","        128.90","        126.05","        127.10","        127.05","        127.20","   10204509","          1298019858.70","      28420","    4131823","         40.49"
"ASHOKLEY","EQ","12-Jan-2018","        127.05","        127.50","        129.15","        125.10","        128.65","        128.65","        127.57","    8882198","          1133102440.90","      38128","    2779868","         31.30"
"ASHOKLEY","EQ","15-Jan-2018","        128.65","        128.95","        129.35","        125.00","        126.10","        126.10","        126.86","    9735164","          1235025903.45","      36644","    4213402","         43.28"
"ASHOKLEY","EQ","16-Jan-2018","        126.10","        126.10","        126.40","        121.60","        123.00","        122.30","        123.57","   11527983","          1424502193.65","      62974","    4315726","         37.44"
"ASHOKLEY","EQ","17-Jan-2018","        122.30","        122.10","        124.80","        119.50","        124.30","        124.45","        123.17","   10469892","          1289626858.85","      60756","    2939864","         28.08"
"ASHOKLEY","EQ","18-Jan-2018","        124.45","        124.20","        125.30","        120.10","        120.50","        120.90","        122.39","   10351616","          1266914199.85","      67876","    3052484","         29.49"
"ASHOKLEY","EQ","19-Jan-2018","        120.90","        120.80","        121.50","        118.70","        121.40","        121.05","        120.25","    9786893","          1176859653.65","      50955","    3035881","         31.02"
"ASHOKLEY","EQ","22-Jan-2018","        121.05","        121.65","        121.95","        119.20","        120.85","        121.05","        120.59","    7431883","           896192199.45","      66120","    2491351","         33.52"
"ASHOKLEY","EQ","23-Jan-2018","        121.05","        120.50","        125.30","        120.20","        123.85","        124.00","        123.58","   10962021","          1354712719.75","      65649","    2899222","         26.45"
"ASHOKLEY","EQ","24-Jan-2018","        124.00","        124.00","        125.15","        122.30","        123.20","        123.30","        123.51","   12152677","          1500969939.90","      78884","    3873795","         31.88"
"ASHOKLEY","EQ","25-Jan-2018","        123.30","        124.25","        124.40","        121.60","        122.25","        122.30","        123.15","   11367419","          1399937688.70","      64786","    5744294","         50.53"
"ASHOKLEY","EQ","29-Jan-2018","        122.30","        122.90","        126.55","        122.65","        125.35","        125.40","        125.03","   13757107","          1720088484.65","      67431","    5124335","         37.25"
"ASHOKLEY","EQ","30-Jan-2018","        125.40","        125.80","        126.65","        123.55","        125.60","        125.75","        125.26","   12328142","          1544274460.60","      48165","    3758596","         30.49"
"ASHOKLEY","EQ","31-Jan-2018","        125.75","        125.40","        126.55","        124.40","        126.10","        126.10","        125.27","   10040333","          1257742795.30","      43286","    4798167","         47.79"
"ASHOKLEY","EQ","01-Feb-2018","        126.10","        126.95","        126.95","        116.30","        124.50","        123.35","        123.64","   15946691","          1971698771.35","      67731","    3430167","         21.51"
"ASHOKLEY","EQ","02-Feb-2018","        123.35","        124.30","        126.65","        118.50","        121.90","        122.30","        123.84","   38049390","          4712082948.85","     142950","   14149668","         37.19"
"ASHOKLEY","EQ","05-Feb-2018","        122.30","        118.90","        130.00","        118.35","        129.40","        129.35","        125.71","   22945256","          2884423720.00","      98981","    5838131","         25.44"
"ASHOKLEY","EQ","06-Feb-2018","        129.35","        123.00","        128.70","        120.80","        126.50","        126.90","        125.60","   24648572","          3095763238.90","     106143","    6316597","         25.63"
"ASHOKLEY","EQ","07-Feb-2018","        126.90","        129.95","        134.00","        128.65","        132.05","        132.90","        131.04","   25341574","          3320857684.75","      98170","    7478838","         29.51"
"ASHOKLEY","EQ","08-Feb-2018","        132.90","        133.75","        136.60","        133.10","        134.05","        134.15","        135.05","   24389428","          3293839820.40","      89370","    7419173","         30.42"
"ASHOKLEY","EQ","09-Feb-2018","        134.15","        131.00","        135.75","        131.00","        134.10","        134.20","        134.05","   17062623","          2287179721.70","      61270","    3712885","         21.76"
"ASHOKLEY","EQ","12-Feb-2018","        134.20","        135.40","        136.75","        132.70","        133.50","        133.30","        134.15","   11892807","          1595388028.05","      55890","    2898982","         24.38"
"ASHOKLEY","EQ","14-Feb-2018","        133.30","        135.45","        138.75","        134.20","        136.70","        137.40","        137.22","   27373293","          3756161137.15","      95528","   10905805","         39.84"
"ASHOKLEY","EQ","15-Feb-2018","        137.40","        138.45","        139.30","        136.20","        137.60","        137.25","        137.92","   14544353","          2005936170.35","      63284","    2873560","         19.76"
"ASHOKLEY","EQ","16-Feb-2018","        137.25","        138.60","        138.90","        133.40","        134.00","        133.95","        135.14","   14941293","          2019125914.40","      60618","    3241175","         21.69"
"ASHOKLEY","EQ","19-Feb-2018","        133.95","        134.45","        134.50","        130.65","        132.50","        132.20","        132.12","   12180808","          1609380481.60","      58649","    3429239","         28.15"
"ASHOKLEY","EQ","20-Feb-2018","        132.20","        132.50","        135.35","        131.80","        133.10","        133.40","        133.57","    9905274","          1323010339.45","      45494","    2650836","         26.76"
"ASHOKLEY","EQ","21-Feb-2018","        133.40","        134.00","        134.90","        131.95","        132.50","        132.35","        133.13","    9506894","          1265696766.05","      35390","    3195221","         33.61"
